nom,date,duree_experience,nombre_bacterie,range1,range2,data_1024,data_256,data_64,img_final,img_binarisee,version_algorithme
"lk,",2017-04-11_16:01:13_,0:00:21.144151,2,none,none,none,none,none,none,none,V1.0
khb,2017-04-11_16:48:38_,0:00:21.958861,2,1,1,none,none,none,none,none,V1.0
pap,2017-04-11_16:57:57_,0:00:22.603512,2,1,1,none,none,none,none,none,V1.0
zef,2017-04-12_10:12:41_,0:00:12.531289,0,none,none,none,none,none,none,none,V1.0
mlk,2017-04-12_10:13:39_,0:00:32.333351,2,none,none,none,none,none,none,none,V1.0
mlkj,2017-04-12_10:26:32_,0:00:25.623153,2,none,none,none,none,none,none,none,V1.0
sdf,2017-04-12_11:10:01_,0:01:07.148028,10,1,1,none,none,none,none,none,V1.0
